Designator,Mid X,Mid Y,Rotation,Layer
C1,236.732,-58.502,270.0,top
C10,235.62,-62.424,270.0,top
C11,235.394,-60.618,180.0,top
C12,232.6,-60.11,0.0,top
C13,230.54,-58.614,270.0,top
C14,223.949,-61.126,180.0,top
C15,227.759,-58.586,180.0,top
C16,227.464,-59.856,180.0,top
C17,220.634,-63.892,90.0,top
C18,223.202,-65.19,0.0,top
C19,222.92,-70.003,270.0,top
C2,232.332,-58.612,90.0,top
C20,225.968,-70.791,90.0,top
C21,227.492,-70.791,270.0,top
C22,238.5,-63.494,90.0,top
C3,234.35,-63.638,270.0,top
C4,237.398,-63.48,270.0,top
C5,223.908,-62.396,0.0,top
C6,221.396,-70.003,270.0,top
C7,230.8448,-70.298,270.0,top
C8,232.826,-70.298,270.0,top
C9,235.846,-66.968,180.0,top
CH1,186.0,-88.4,0.0,top
CH2,206.0,-88.4,0.0,top
CH3,226.0,-88.4,0.0,top
CH4,246.0,-88.4,0.0,top
CH5,186.0,-41.4,0.0,top
CH6,206.0,-41.4,0.0,top
CH7,226.0,-41.4,0.0,top
CH8,246.0,-41.278962,0.0,top
CP1,195.012,-67.9195,270.0,top
CP2,205.1575,-67.565,180.0,top
CP3,200.25,-66.6575,90.0,top
D1,246.2875,-67.75,180.0,top
DP1,212.5,-71.7875,90.0,top
J1-1,186.9,-63.69,0.0,top
J2,179.5,-74.0,270.0,top
J2-1,190.6,-61.2,0.0,top
J3,252.858958,-70.961518,90.0,top
L1,235.897,-64.174,0.0,top
L2,225.46,-58.8655,90.0,top
L3,225.991,-56.808,0.0,top
L4,224.444,-69.9905,90.0,top
P1,213.5,-68.25,0.0,top
P10,218.25,-68.25,0.0,top
P11,219.25,-71.75,0.0,top
P12,216.75,-71.75,0.0,top
P15,179.25,-54.25,0.0,top
P16,212.25,-76.5,0.0,top
P17,178.0,-68.5,0.0,top
P18,180.25,-68.5,0.0,top
P19,214.25,-71.75,0.0,top
P2,210.75,-68.25,0.0,top
P21,240.5,-70.25,0.0,top
P22,237.5,-70.25,0.0,top
P23,220.25,-76.5,0.0,top
P24,216.5,-76.5,0.0,top
P3,215.75,-53.5,0.0,top
P4,218.75,-53.5,0.0,top
P5,213.25,-57.75,0.0,top
P6,216.0,-68.25,0.0,top
P7,212.75,-53.5,0.0,top
P8,218.5,-61.0,0.0,top
P9,215.5,-59.5,0.0,top
RCC1,246.49,-72.5,180.0,top
RCC2,246.601041,-68.996518,180.0,top
RDIV1,200.5,-60.325,90.0,top
RDIV2,202.5,-60.325,270.0,top
RP1,196.512,-66.5995,270.0,top
RP2,198.012,-66.0995,90.0,top
RP3,208.0875,-71.0,0.0,top
RP4,203.25,-66.1525,270.0,top
RP5,206.6625,-66.065,0.0,top
RP6,201.75,-66.1525,90.0,top
RUSB1,231.74,-72.5,0.0,top
RUSB2,231.74,-73.5,0.0,top
R_I2C_1,213.01,-65.5,180.0,top
R_I2C_2,212.91,-63.7,180.0,top
R_I2C_3,221.5,-56.99,90.0,top
R_I2C_4,222.7,-56.99,90.0,top
SW1,179.7,-63.125,270.0,bottom
SW2,179.65,-63.125,270.0,top
U1,196.0,-71.012,270.0,top
U10,216.45,-65.8,0.0,top
U11,245.8875,-70.911518,0.0,top
U15,195.9,-55.375,0.0,top
U16,235.9,-55.375,0.0,top
U17,254.95,-52.01,270.0,top
U2,229.862,-64.822,0.0,top
U4,216.45,-63.05,0.0,top
U6,193.111999,-67.512001,0.0,top
U7,202.5,-71.0,0.0,top
U9,193.012,-71.0,270.0,top
Y1,234.542,-58.29,180.0,top
