Designator,Mid X,Mid Y,Rotation,Layer
3.3V,212.8,-65.6,0.0,top
C+,178.75,-70.5,0.0,top
C-,176.75,-70.5,0.0,top
CELL,215.5,-59.5,0.0,top
CELL+,245.3,-63.7,0.0,top
CELL-,248.8,-64.8,0.0,top
CH1,186.9,-87.3375,180.0,top
CH2,206.9,-87.3375,180.0,top
CH3,226.9,-87.3375,180.0,top
CH4,246.9,-87.3375,180.0,top
CH5,185.1,-42.4625,0.0,top
CH6,205.1,-42.4625,0.0,top
CH7,225.1,-42.4625,0.0,top
CH8,245.1,-42.341462,0.0,top
CP1,195.012,-67.9195,270.0,top
GND_2,212.25,-76.5,0.0,top
GND,179.25,-54.25,0.0,top
HALL_2,247.2,-69.0,0.0,top
HALL,218.25,-68.25,0.0,top
J1-1,186.75,-64.75,270.0,bottom
J2,179.5,-78.25,270.0,bottom
J2-1,190.75,-62.25,90.0,bottom
JP1,211.75,-56.75,270.0,bottom
JP2,209.0,-56.75,90.0,bottom
JP4,195.025,-74.2,180.0,bottom
RDIV1,200.5,-60.325,90.0,top
RDIV2,202.5,-60.325,270.0,top
RI1,218.0,-55.89,90.0,top
RI2,215.6,-55.94,90.0,top
RP1,196.512,-66.5995,270.0,top
RP2,198.012,-66.0995,90.0,top
SCL,215.75,-53.5,0.0,top
SDA,218.75,-53.5,0.0,top
SW2,179.2,-62.2,270.0,top
SWITCH,247.1,-71.8,0.0,top
U1,196.0,-71.012,270.0,top
U15,195.9,-55.375,0.0,top
U16,235.9,-55.375,0.0,top
U2,260.787985,-65.627,270.0,top
U6,193.111999,-67.512001,0.0,top
U9,193.012,-71.0,270.0,top
