Designator,Footprint,Quantity,Value,LCSC Part #
"CELL+1, CELL-1, HALL1, SWITCH1",TestPoint_Plated_Hole_D2.0mm,4,TestPoint,
"CH1, CH2, CH3, CH4, CH5, CH6, CH7, CH8",SW_KS33_HS_KS-2P02B01-02_HS_1u,8,KS33_SW_HS,
CP1,0201,1,0.1u,
J1-1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,
J2,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,LIPO,
J2-1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
JP4,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Jumper_2_Bridged,
RDIV1,0603,1,150k,
RDIV2,0603,1,300k,
RP1,0603,1,2.2k,
RP2,0603,1,330,
"R_I2C_1, R_I2C_2",0402,2,4.7k,
SW2,SW_TH_Tactile_Omron_B3F-100x,1,SW_Push,
"U1, U9",CDS85301-DQK0006B,2,CSD85301Q2,
"U13, U3",AS5600L-ASOM_AMS,2,AS5600L-ASOM,
"U14, U8",DRV5032-DBZ0003A-IPC_A,2,DRV5032FCDBZR,
"U15, U16",OLED 128x64,2,~,
U2,XIAO-nRF52840-Sense-14P-THTMOD,1,Seeed Studio XIAO nRF52840,
U6,BQ29700-DSE0006A,1,BQ29700DSER,
