Designator,Mid X,Mid Y,Rotation,Layer
3.3V1,212.8,-65.6,0.0,top
C+1,178.0,-68.5,0.0,top
C-1,180.25,-68.5,0.0,top
CELL+1,245.3,-63.7,0.0,top
CELL-1,248.8,-64.8,0.0,top
CELL1,215.5,-59.5,0.0,top
CH1,186.0,-88.4,0.0,top
CH2,206.0,-88.4,0.0,top
CH3,226.0,-88.4,0.0,top
CH4,246.0,-88.4,0.0,top
CH5,186.0,-41.4,0.0,top
CH6,206.0,-41.4,0.0,top
CH7,226.0,-41.4,0.0,top
CH8,246.0,-41.278962,0.0,top
CP1,195.012,-67.9195,270.0,top
GND1,179.25,-54.25,0.0,top
GND2,212.25,-76.5,0.0,top
HALL1,247.2,-69.0,0.0,top
HALL2,218.25,-68.25,0.0,top
J1-1,186.9,-63.69,0.0,top
J2,179.5,-74.0,270.0,top
J2-1,190.6,-61.2,0.0,top
JP4,195.025,-74.2,0.0,top
P3,215.75,-53.5,0.0,top
P4,218.75,-53.5,0.0,top
RDIV1,200.5,-60.325,90.0,top
RDIV2,202.5,-60.325,270.0,top
RP1,196.512,-66.5995,270.0,top
RP2,198.012,-66.0995,90.0,top
R_I2C_1,218.0,-55.89,90.0,top
R_I2C_2,215.6,-55.94,90.0,top
SW2,179.2,-62.2,270.0,top
SWITCH1,247.1,-71.8,0.0,top
U1,196.0,-71.012,270.0,top
U13,3.6858,-9.3439,0.0,top
U14,10.242305,-5.605,0.0,top
U15,195.9,-55.375,0.0,top
U16,235.9,-55.375,0.0,top
U2,260.787985,-65.627,270.0,top
U3,3.6858,-2.7813,0.0,top
U6,193.111999,-67.512001,0.0,top
U8,10.242305,-1.535,0.0,top
U9,193.012,-71.0,270.0,top
